SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.138104169229534	0.0903151765953905	0.127126354607776	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0467563674189347	0.0915713029141927	0.609949867550731	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	-0.208112520865078	0.154409401574634	0.178588018699733	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.0981967814254254	0.154160140623086	0.524551352191819	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	-0.0202629406167045	0.113846748946451	0.858837352186802	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	-0.0559785863134109	0.0995466914640453	0.574244724066628	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	0.0816273137589114	0.571732862658527	0.886551888555491	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	-0.0618329866392864	0.0779289631733981	0.428046821776681	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0411887669293152	0.0767957808354278	0.592060350962447	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-0.112437829609915	0.701542805733082	0.872758307104556	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	0.187677470335033	0.529920026139564	0.723429028452431	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	-0.127870716249996	0.0780987212677362	0.10245975813045	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	-0.14606205625501	0.0779081605449891	0.0616460383243733	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	-0.12383715276448	0.0796354797758727	0.12083022492686	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	-0.155172007694662	0.0778582523780998	0.0470301859481677	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.0946017057919827	0.0748401219712574	0.207045885908149	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.0946017057919827	0.0748401219712574	0.207045885908149	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	-0.0933108487183559	0.0748459299078925	0.21333203188426	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	-0.124627201104439	0.0742132694629234	0.0939761709512437	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	0.249867241165617	0.166448233601429	0.134205290956629	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.1158692211301	0.173977736582194	0.505845903851444	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	-0.0744547092494348	0.471043569680853	0.874497285463234	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	-0.06053833093394	0.152700630923073	0.692011831378549	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	-0.658886637801782	0.446154307834802	0.140617212474771	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.0958284626986279	0.0767801485306756	0.21282566449372	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	-0.0744366905144164	0.0742060246035532	0.316495645536046	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	-0.0903091275599552	0.102310963992809	0.378003097013549	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
