SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.104565970484964	0.0722545120324772	0.148731304183113	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0513595329509315	0.073210321891548	0.48343203425376	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.0329049809896693	0.123794117378989	0.790545274929453	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.258237776812727	0.122592569910952	0.0358687955709176	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.0960358967073844	0.0909096242106787	0.291513103204831	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	0.0125977221046902	0.0796454582514835	0.874411307962913	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-0.170220886949226	0.457167731706622	0.709864695990398	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	-0.037993317186682	0.0623465823361523	0.542658684227385	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0509375374171352	0.0613827283485327	0.407192898577253	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-0.584718482425048	0.560216652218493	0.297321623986801	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	-0.195324934157747	0.423752190996023	0.645124495369827	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.0055963616101077	0.0626955882285756	0.928923959540512	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	0.0060405673437493	0.062615785752476	0.923201759238617	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.0133627397277865	0.0639024206371339	0.834481710359674	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	0.0106488349349225	0.0626140459659196	0.865051708068015	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	0.0251170792780142	0.0599739205644748	0.675616989564051	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	0.0251170792780142	0.0599739205644748	0.675616989564051	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	0.032838702156097	0.0599643222716195	0.584287030928505	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	0.0186502658718637	0.0595805235401879	0.754445602584894	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	0.126974965077953	0.133370357652514	0.34172412056093	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.208198642514435	0.138784677569514	0.134467882306341	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	0.108826042151741	0.376686668064977	0.772824920054954	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.197808399882355	0.121695194296207	0.104960972999598	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	0.110640621281433	0.357864760723194	0.757375520471057	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	0.0165026098817115	0.0615341168457163	0.788712533398556	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	0.0302469493039322	0.0594091046095064	0.61097929315949	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	-0.124050175212082	0.0816470852921237	0.129570543949952	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
