SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.258110141171001	0.191268738987143	0.178053029996839	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0740311580216427	0.193819267939203	0.702721057652586	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.348003740622092	0.327084568440902	0.288075676761729	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	0.0178408376718622	0.326427450723018	0.956444372952441	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.0498620324974537	0.240924372820461	0.836159376128378	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	0.191094487283384	0.21051446042263	0.364629626788974	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-1.31049128722605	1.20795247385554	0.27871230517307	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	0.0092210631415887	0.165063433916837	0.955481950514663	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	0.037718832395228	0.162572879321007	0.816663262395155	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	0.0105466649887394	1.4846938513841	0.994336210994468	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	0.670648695718811	1.12107434002156	0.550077005802588	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	-0.024472920953914	0.165897683647366	0.882807267925516	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	-0.0279354699771898	0.165685269559501	0.866203413676014	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	-0.0052669861707838	0.169104605613643	0.975170451748488	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	-0.00612049837968	0.165691620688911	0.970554448486505	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.0092163111730824	0.15873769082643	0.953733683414827	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.0092163111730824	0.15873769082643	0.953733683414827	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	0.0119470120768751	0.158739745442722	0.940049182358424	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	-0.0602990319601768	0.157647261031485	0.702325636043517	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	-0.488817439935604	0.352409560731537	0.166294971737195	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	0.24874126371656	0.368173665921866	0.499731568846908	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	1.94544929120341	0.991488992389007	0.0505304122596744	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.0006889053584462	0.323224637402238	0.998300632672913	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	1.14217732139658	0.945133211052686	0.227670474900013	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.0894615871880392	0.162774474367274	0.582938189358804	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	-0.0745297314532248	0.157212119234106	0.635742257724289	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	0.434308286438518	0.215518261788426	0.0446433144021098	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
28	I	35129	0.175649845474086	0.217108267272362	0.419035576627297	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
29	I	36146	-0.0769912848716842	0.1563975720216	0.622827938500139	ORF	Verified ORF	YAL060W	BDH1	SGDID:S000000056
30	I	37255	-0.008061191485444	0.315786157951817	0.979648738406852	Promoter	Promoter	YAL058W_NFR/NDR		
31	I	37409	0.0928405014963848	0.157219522259269	0.555223222022798	Promoter	Promoter	YAL058W_NFR/NDR		
32	I	37478	0.0635590147920509	0.157396025912291	0.68659263397039	ORF	Verified ORF	YAL058W	CNE1	SGDID:S000000054
33	I	39144	0.0756063151559357	0.156662297618388	0.629673971089439	Promoter	Promoter	YAL056W_NFR/NDR		
34	I	41499	0.114639067390697	0.156160123825747	0.463367621668194	ORF	Verified ORF	YAL056W	GPB2	SGDID:S000000052
35	I	45359	-0.0653285501828229	0.263077611404675	0.804027936401912	Promoter	Promoter	YAL054C_NFR/NDR		
36	I	45634	-0.197316703367453	0.241437460740598	0.414332223909908	Promoter	Promoter	YAL053W_NFR/NDR		
37	I	51248	0.0457975070322944	0.15692554904443	0.770578663776234	ORF	Verified ORF	YAL051W	OAF1	SGDID:S000000048
38	I	51462	0.0428407643443762	0.157140755018302	0.78529959783407	ORF	Verified ORF	YAL051W	OAF1	SGDID:S000000048
39	I	52124	0.0716714026058356	0.156898112818687	0.64809418710604	ORF	Verified ORF	YAL049C	AIM2	SGDID:S000000047
40	I	52667	0.0067607953409222	0.156692541560883	0.965608839043758	Promoter	Promoter	YAL049C_NFR/NDR		
41	I	55470	0.0374187839100591	0.16094490287361	0.816288794579185	ORF	Verified ORF	YAL047C	SPC72	SGDID:S000000045
42	I	59265	0.11202879537712	0.156500358112646	0.474565054455349	ORF	Verified ORF	YAL043C	PTA1	SGDID:S000000041
43	I	60165	0.112486102907716	0.156380994164916	0.472427072886931	ORF	Verified ORF	YAL043C	PTA1	SGDID:S000000041
44	I	62308	-0.0913226645158164	0.156247863060538	0.559275438418275	ORF	Verified ORF	YAL042W	ERV46	SGDID:S000000040
45	I	62869	-0.0915073159368725	0.156227913789879	0.558431510104939	ORF	Verified ORF	YAL041W	CDC24	SGDID:S000000039
46	I	65431	-0.107698915088671	0.163143085322886	0.509588058057151	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
47	I	65451	-0.0825374068414663	0.160869126269353	0.608222053320713	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
48	I	65719	-0.0125577409649373	0.167817893746044	0.940392700669571	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
49	I	66841	-0.0472027548094833	0.15635729557478	0.762913449373253	ORF	Verified ORF	YAL040C	CLN3	SGDID:S000000038
50	I	66948	-0.0937210118189884	0.157258090987243	0.551577597824074	ORF	Verified ORF	YAL040C	CLN3	SGDID:S000000038
51	I	68621	-0.328090029938869	0.155936237293056	0.0360852148792984	Promoter	Promoter	SUT003_NFR/NDR		
52	I	69417	-0.200402441373619	0.156131639803013	0.200142115790416	Unstable transcript	SUT	SUT003		
53	I	69820	-0.795817232698837	0.61090523268121	0.1935314307281	Promoter	Promoter	YAL039C_NFR/NDR		
54	I	69821	-0.400853772361807	0.379353541600422	0.291382100466961	Promoter	Promoter	YAL039C_NFR/NDR		
55	I	70906	-0.0543703138388265	0.251375180819819	0.828885472264375	Close to 3'-UTR	Close to 3'-UTR	YAL038W	CDC19	SGDID:S000000036
56	I	74327	-0.0737912760665614	0.157306937663927	0.639294139812598	ORF	Uncharacterized ORF	YAL037W	YAL037W	SGDID:S000000035
57	I	74572	-0.0727080642835662	0.15688930773879	0.643337891671766	ORF	Uncharacterized ORF	YAL037W	YAL037W	SGDID:S000000035
58	I	75211	-0.0217411592031384	0.156646671585272	0.889694393821168	ORF	Verified ORF	YAL036C	RBG1	SGDID:S000000034
59	I	76030	0.027245376664798	0.156644233494783	0.862018946716077	ORF	Verified ORF	YAL036C	RBG1	SGDID:S000000034
60	I	80108	-2.42420735077631e-06	0.156613906709795	0.99998765838687	ORF	Verified ORF	YAL034W-A	MTW1	SGDID:S000000032
61	I	81262	-0.0090213293641826	0.156553962803993	0.954080411888387	ORF	Verified ORF	YAL034C	FUN19	SGDID:S000002134
62	I	81999	-0.0195216817014872	0.156933588200287	0.901073699534498	Close to 3'-UTR	Close to 3'-UTR	YAL034C	FUN19	SGDID:S000002134
63	I	82431	-0.0481885043779387	0.157659065203244	0.760051255954114	Close to 3'-UTR	Close to 3'-UTR	YAL034C	FUN19	SGDID:S000002134
64	I	83284	0.0284276802606853	0.156525200795153	0.855987332076174	Close to 3'-UTR	Close to 3'-UTR	YAL033W	POP5	SGDID:S000000031
65	I	83613	0.0355919402824638	0.156503800126967	0.820229590839471	ORF	Verified ORF	YAL032C	PRP45	SGDID:S000000030
66	I	84112	-0.0260274723607699	0.156526383556392	0.868030470057409	ORF	Verified ORF	YAL032C	PRP45	SGDID:S000000030
67	I	84701	-0.0374961255118638	0.167607259147076	0.823109102159906	ORF	Dubious ORF	YAL031W-A	YAL031W-A	SGDID:S000028731
68	I	84858	0.105579738992841	0.156873680437232	0.501372430488734	ORF	Dubious ORF	YAL031W-A	YAL031W-A	SGDID:S000028731
69	I	85751	0.0574957092254904	0.157589792172666	0.715446246572731	ORF	Verified ORF	YAL031C	GIP4	SGDID:S000000029
70	I	87445	0.0697311327992365	0.157909088876561	0.659056030557969	Close to 3'-UTR	Close to 3'-UTR	YAL031C	GIP4	SGDID:S000000029
71	I	87467	0.020296688082551	0.158775913038626	0.898354489884845	Close to 3'-UTR	Close to 3'-UTR	YAL031C	GIP4	SGDID:S000000029
72	I	89070	0.0402415921165686	0.157771298495996	0.7988231184923	ORF	Verified ORF	YAL029C	MYO4	SGDID:S000000027
73	I	89616	0.0797301946668573	0.156879643265906	0.611612831993076	ORF	Verified ORF	YAL029C	MYO4	SGDID:S000000027
74	I	89679	0.0276744382836348	0.156949989461793	0.86013857826731	ORF	Verified ORF	YAL029C	MYO4	SGDID:S000000027
75	I	89880	0.0576595558497489	0.156966672625885	0.713588308718835	ORF	Verified ORF	YAL029C	MYO4	SGDID:S000000027
76	I	91472	0.102602639238181	0.158067716425328	0.516692214542921	ORF	Verified ORF	YAL029C	MYO4	SGDID:S000000027
77	I	93789	0.143239655836576	0.15634674381815	0.360205000994587	ORF	Verified ORF	YAL028W	FRT2	SGDID:S000000026
78	I	94351	0.122835153524567	0.156808246160348	0.433949046413782	ORF	Verified ORF	YAL028W	FRT2	SGDID:S000000026
79	I	99148	0.147818369929429	0.156334669953405	0.345037557264155	ORF	Verified ORF	YAL026C	DRS2	SGDID:S000000024
