SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.0572318810936512	0.184382089548976	0.756441294625804	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.191267435987199	0.186146488160717	0.304883783122572	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.248079168610776	0.314767717452656	0.431147198939423	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	0.506286527400713	0.312751277391944	0.106380096274642	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.19675696286203	0.231461994233507	0.395866995312537	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	0.35380115411915	0.201800501680004	0.0804318183666602	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	1.66374577610331	1.16018693419059	0.152448198565231	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	-0.0253378769806831	0.158728086908883	0.873263284841104	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	0.0163001835194971	0.156347587038976	0.917025355093532	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-0.0592856650708296	1.42775122475608	0.9669017905371	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	-0.145593083353886	1.07859870542769	0.892701813156035	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.000447503232215	0.159540285388825	0.99776355754146	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	-0.0132951086078226	0.159335946120552	0.933548395407403	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.0155202142510422	0.162617428977806	0.924019467574231	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	0.0110268790639431	0.159336436539151	0.944865623654221	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.0429029975029524	0.152633617142153	0.778810002731775	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.0429029975029524	0.152633617142153	0.778810002731775	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	-0.0223582726336209	0.152648530714267	0.883634795543222	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	-0.0075792836111496	0.151632233492275	0.960162893408358	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	-0.598103694628648	0.338322275686604	0.0779494528117659	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	0.33762590008074	0.35382669787698	0.340628989464937	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	0.627785123288479	0.958067502579951	0.512725933937827	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	-0.177579482788589	0.31068497200328	0.56797429802329	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	1.53979341632911	0.907069907389007	0.0904747227519929	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.0322743395887092	0.15658947487316	0.836825387889183	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	-0.0883809541473021	0.151157845493774	0.559127581012018	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	0.291499732253651	0.207863464229951	0.161686096717445	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
28	I	35129	-0.0141326832683304	0.208974108470876	0.946119360102352	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
29	I	36146	-0.220120970804518	0.149994352877536	0.143122766355115	ORF	Verified ORF	YAL060W	BDH1	SGDID:S000000056
30	I	37255	-0.281057624412918	0.303307105408899	0.354744645748139	Promoter	Promoter	YAL058W_NFR/NDR		
31	I	37409	-0.160099335277901	0.151024475667477	0.289829052878545	Promoter	Promoter	YAL058W_NFR/NDR		
32	I	37478	-0.131920913144507	0.151231804503178	0.383632585972107	ORF	Verified ORF	YAL058W	CNE1	SGDID:S000000054
33	I	39144	0.0090004790036251	0.150703099695397	0.952409849452096	Promoter	Promoter	YAL056W_NFR/NDR		
34	I	41499	0.0448804511570378	0.150266856672872	0.765366325490986	ORF	Verified ORF	YAL056W	GPB2	SGDID:S000000052
35	I	45359	0.255028149989459	0.252646089927109	0.313460610031627	Promoter	Promoter	YAL054C_NFR/NDR		
36	I	45634	-0.165016137870636	0.232231657564187	0.477821822345176	Promoter	Promoter	YAL053W_NFR/NDR		
37	I	51248	-0.120303260833799	0.150789639761907	0.42551027118957	ORF	Verified ORF	YAL051W	OAF1	SGDID:S000000048
38	I	51462	-0.145446781479146	0.150931786492262	0.33587656526474	ORF	Verified ORF	YAL051W	OAF1	SGDID:S000000048
39	I	52124	-0.144442938581104	0.150729595505049	0.338571492346057	ORF	Verified ORF	YAL049C	AIM2	SGDID:S000000047
40	I	52667	-0.0571691776479806	0.150652924460819	0.70456255921523	Promoter	Promoter	YAL049C_NFR/NDR		
41	I	55470	-0.104989852644976	0.154683478591951	0.497747398670618	ORF	Verified ORF	YAL047C	SPC72	SGDID:S000000045
42	I	59265	-0.140961678575006	0.150420642618276	0.34933928251262	ORF	Verified ORF	YAL043C	PTA1	SGDID:S000000041
43	I	60165	-0.0213652828866325	0.150489527704985	0.887183199946649	ORF	Verified ORF	YAL043C	PTA1	SGDID:S000000041
44	I	62308	-0.112091049087853	0.150209882098102	0.456025437592804	ORF	Verified ORF	YAL042W	ERV46	SGDID:S000000040
45	I	62869	-0.131580192892537	0.150146193169571	0.381437281550565	ORF	Verified ORF	YAL041W	CDC24	SGDID:S000000039
46	I	65431	-0.151495391661371	0.156776007111448	0.334546907823324	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
47	I	65451	-0.137079879975974	0.154585252018519	0.375812337455439	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
48	I	65719	-0.139173841238169	0.161213127258075	0.388563653498985	Close to 3'-UTR	Close to 3'-UTR	YAL041W	CDC24	SGDID:S000000039
49	I	66841	-0.145245197812651	0.15018143627804	0.33414042639426	ORF	Verified ORF	YAL040C	CLN3	SGDID:S000000038
50	I	66948	-0.153922110774034	0.151081217397934	0.308993879199426	ORF	Verified ORF	YAL040C	CLN3	SGDID:S000000038
51	I	68621	-0.343053234803808	0.149784506076243	0.0225924045042651	Promoter	Promoter	SUT003_NFR/NDR		
52	I	69417	-0.182752951432825	0.15017915090147	0.224455367237997	Unstable transcript	SUT	SUT003		
53	I	69820	-0.318073362198133	0.588643521849266	0.589296625069304	Promoter	Promoter	YAL039C_NFR/NDR		
54	I	69821	0.0484461565743537	0.365372416383889	0.894590098756561	Promoter	Promoter	YAL039C_NFR/NDR		
55	I	70906	0.040720820337361	0.241741036009998	0.866327236011514	Close to 3'-UTR	Close to 3'-UTR	YAL038W	CDC19	SGDID:S000000036
56	I	74327	-0.143748502175293	0.151127683749788	0.342167588414406	ORF	Uncharacterized ORF	YAL037W	YAL037W	SGDID:S000000035
57	I	74572	-0.131631360810167	0.150755655547822	0.38317828025802	ORF	Uncharacterized ORF	YAL037W	YAL037W	SGDID:S000000035
58	I	75211	-0.165529727670202	0.15038540038474	0.271775751319143	ORF	Verified ORF	YAL036C	RBG1	SGDID:S000000034
59	I	76030	-0.07427868204247	0.150591365932638	0.622145048007622	ORF	Verified ORF	YAL036C	RBG1	SGDID:S000000034
60	I	80108	-0.0687869947841482	0.150563126694286	0.648049220581369	ORF	Verified ORF	YAL034W-A	MTW1	SGDID:S000000032
