SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.117024577678132	0.0694531544302803	0.0928834535701006	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0661016693965647	0.0704068991218692	0.348448596692434	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	-0.0275336036162814	0.119122146997309	0.817341839937955	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.285289871982219	0.117726944883649	0.0158816721891631	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	-0.0720604122068584	0.087530749692752	0.410916964905732	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	-0.0430283425464626	0.0766062723112386	0.574689322092063	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	0.390713823373345	0.439498221520199	0.374608592937849	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	0.0316647376599177	0.0600000508625811	0.598007769485632	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0142564656178128	0.0591174265052212	0.809574962952788	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-1.02750819199359	0.537115155743522	0.05655521515845	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	-0.245150217262811	0.407663834581612	0.547990301298051	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.0473749738781866	0.0602759576297292	0.432413492494711	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	0.0480119441362135	0.0601977853852892	0.425656265940572	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.0390097592050302	0.0614579993617413	0.52601013849517	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
