SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.0755800599191099	0.123265608700057	0.540173334805659	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	-0.0427336597856883	0.124659716775032	0.731951101691672	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.099329463834529	0.210634871765941	0.63752379453156	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.164612987296723	0.209759543548519	0.433114796832392	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	-0.0401562651887861	0.154944978677278	0.795659250447219	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	-0.0199572848862504	0.135545976694682	0.883029584514834	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-0.857568688230665	0.776848012178079	0.270385002581601	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	-0.0326756837392717	0.106146638683183	0.758389201326903	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0810573988807142	0.10447755216704	0.438365558929981	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-0.124449720068742	0.95485676119313	0.896376901697581	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	-0.565318260890217	0.720755679718191	0.433366030851211	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	-0.114264515005456	0.106526789191328	0.28416700879044	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	-0.0984254508880698	0.106435797093421	0.355732821909257	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	-0.0739675862237844	0.108688364205834	0.496604024579809	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	-0.0967242829070992	0.106440214971554	0.364118271782867	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.0296866506607611	0.10208027894827	0.771362293170272	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.0296866506607611	0.10208027894827	0.771362293170272	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	-0.0311834573295205	0.102080668003212	0.760181736872943	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	-0.0560974094291881	0.101367755877537	0.580336534031015	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	-0.0123896329449007	0.227267796697801	0.956555245866228	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.862626033556905	0.232452769698522	0.0002397837991783	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	0.495969099684612	0.640599691616942	0.439315233598226	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.356425130042643	0.207014262591326	0.0859923208782462	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	-0.961572172465489	0.606963891663355	0.114036156834993	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.050875299171359	0.104698044714335	0.627322497933189	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	0.0402581350843502	0.101120331574532	0.690781610980886	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	0.0048003401140235	0.13940517947863	0.972550178490208	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
28	I	35129	-0.0754326452630245	0.139704727886992	0.589576521143655	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
29	I	36146	-0.0069532130186704	0.100620814388502	0.944946658508958	ORF	Verified ORF	YAL060W	BDH1	SGDID:S000000056
30	I	37255	0.0079363684436266	0.203097363970545	0.968851352480256	Promoter	Promoter	YAL058W_NFR/NDR		
31	I	37409	0.0379726989883291	0.101145350612794	0.707568387195	Promoter	Promoter	YAL058W_NFR/NDR		
32	I	37478	0.0335779703752077	0.101236733501033	0.740329445754943	ORF	Verified ORF	YAL058W	CNE1	SGDID:S000000054
