SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.310601714053608	0.190313199555469	0.103559492875673	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.340140416074863	0.192269279491947	0.0777433669430414	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.320890810402405	0.325911516390958	0.325497462500205	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	0.0985054537943881	0.325141194211788	0.762097214383493	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.335067977052821	0.239356315020588	0.16243015935644	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	0.4760601430579	0.208421393241674	0.022957492211643	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-0.623533099690375	1.20489144446133	0.605130272198437	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	0.036437994300287	0.164422984502856	0.824744614009919	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0008479756489361	0.161964983672603	0.995825612631806	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	0.970774602620535	1.47812686102518	0.511763169733981	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	-0.199911819484917	1.11731258394211	0.858101582521392	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.0426989124410448	0.165254229713082	0.796261784402652	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	0.0284001040621468	0.165052882658518	0.863483697831749	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.0472195200287536	0.168440932094421	0.779386392073746	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	0.0481506704465623	0.165039907328887	0.770647866594067	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	0.0266307126705604	0.158126487986338	0.866354055877968	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	0.0266307126705604	0.158126487986338	0.866354055877968	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
