SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.188444868709789	0.0583509040653596	0.0013564266555489	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.13760612655294	0.0594045728761153	0.0211072572909037	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.0843127522471683	0.101050066424254	0.40463897688024	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.116297671322306	0.100595144533325	0.248423618722376	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	-0.0232091206812264	0.0743800275775465	0.755198673153532	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	-0.0867326334613296	0.0649085316949967	0.182335289443193	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-0.0462422266157794	0.373570325334691	0.901556333864612	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	0.0063472789463701	0.0509626954752484	0.900952645338009	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0342661653868785	0.0501653122854755	0.49501386686906	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	0.144661377968591	0.458336883045677	0.752475664571537	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	0.110798671456251	0.346258625841527	0.749166592455348	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	-0.0355022883147326	0.0511878793607903	0.48840911892281	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	-0.0294588725173651	0.051133608826657	0.564904133605241	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	-0.0415072334805791	0.0521646199136963	0.426742878468456	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	-0.0312461335415669	0.0511306033448075	0.541523810565224	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.0046935568008796	0.0490101043361403	0.923759870093599	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.0046935568008796	0.0490101043361403	0.923759870093599	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	-0.0032297198450796	0.0490112331179986	0.947496700962464	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	-0.0286227860769058	0.0486600786716344	0.556761400405526	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	-0.119735510043996	0.108916826342757	0.272373425114201	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.223328738502082	0.113124879933966	0.0491406276950614	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	-0.310988810433668	0.307343217330198	0.312297271126502	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.011135868446436	0.0997943461205548	0.911213374284702	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	0.0715552535061788	0.292389552275536	0.806810979324354	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.0392570708662728	0.0502349333840834	0.435050178340621	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	-0.0140048892925873	0.0485492117049091	0.77315790656562	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	-0.158103796403739	0.0663920872124617	0.0177781606723091	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
28	I	35129	-0.158666492633884	0.0665610404335309	0.0176640893547377	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
29	I	36146	-0.0053215446348967	0.0483037336085311	0.912338434802887	ORF	Verified ORF	YAL060W	BDH1	SGDID:S000000056
30	I	37255	-0.0617111784036766	0.0974442129763844	0.526949447938004	Promoter	Promoter	YAL058W_NFR/NDR		
31	I	37409	0.0007625155287874	0.0485657230165798	0.987482043774703	Promoter	Promoter	YAL058W_NFR/NDR		
32	I	37478	-0.007940354954421	0.0486056517275131	0.870326282803517	ORF	Verified ORF	YAL058W	CNE1	SGDID:S000000054
33	I	39144	-0.0276269127506808	0.0483633324339605	0.56820267175226	Promoter	Promoter	YAL056W_NFR/NDR		
34	I	41499	-0.0228744754093321	0.0482361072523984	0.635636989261701	ORF	Verified ORF	YAL056W	GPB2	SGDID:S000000052
35	I	45359	-0.0445850559428882	0.0811980441952657	0.583290657941446	Promoter	Promoter	YAL054C_NFR/NDR		
36	I	45634	-0.104133264063106	0.0744085433771657	0.162547242817196	Promoter	Promoter	YAL053W_NFR/NDR		
