SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.139154934619784	0.0846652920270692	0.101151467258436	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0261610568515184	0.0859071164276087	0.760905695072949	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.276593982921862	0.144447798302126	0.0563212732628056	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	-0.055401112429351	0.144643122909788	0.701935970179444	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.0187688485529849	0.106779426556251	0.86057374289807	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	-0.044628851548169	0.0933785805328447	0.632992600502174	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	0.253528371080387	0.536086196694345	0.636559229214397	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	-0.0181965409399001	0.0731499844812323	0.803693732061264	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	-0.0835279630666377	0.0719204773617768	0.246266691920557	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-1.49032603879829	0.653217461782118	0.0231128384278149	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	0.64686905417634	0.495917954367929	0.192951392713462	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.0123919398881671	0.073525119681567	0.866254831527817	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	0.0246719334780759	0.0734228846391626	0.737051566752865	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.0174035024342593	0.0749414971781105	0.81649562488058	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	0.0181290938284001	0.0734282868104341	0.805132829046939	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	0.0668592496177787	0.0702627840578559	0.341971280648335	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	0.0668592496177787	0.0702627840578559	0.341971280648335	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	0.0595340180796959	0.0702825863309272	0.397532019103613	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	0.0669880355387766	0.0697926919404464	0.337805546175102	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	0.0086764161102914	0.156612207376005	0.955850630291885	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.372550891826869	0.162071446102448	0.0221066320401096	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	-0.0139357069587511	0.441816881012286	0.974855270009721	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.214576024644826	0.142797099109257	0.133819813201225	Unstable transcript	XUT	XUT_1F-15		
