SNP	CHR_igv	BP	EFFECTSIZE	SE	P	snps_class_up	snps_class_down	locus_id	GENE	sgd_id
1	I	1025	0.108223636082932	0.20505180017959	0.597978900302751	Promoter	Promoter	X1L_NFR/NDR		
2	I	1035	0.0757155345675668	0.207337663752168	0.715195867235152	Promoter	Promoter	X1L_NFR/NDR		
3	I	1074	0.259157898119017	0.350180675647471	0.459749980048731	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
4	I	1470	0.108413283717081	0.349142526447287	0.756354152037071	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
5	I	1475	0.366558060936206	0.256999814123158	0.154666412750945	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
6	I	1491	0.178025542979312	0.225256787111804	0.429869960222957	Close to 3'-UTR	Close to 3'-UTR	YAL069W	YAL069W	SGDID:S000002143
7	I	21249	-1.90621640753373	1.29035097215856	0.140490790697697	Promoter	Promoter	YAL064W_NFR/NDR		
8	I	27243	0.170507397128665	0.176340461762011	0.33424521818965	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
9	I	27272	0.0793388048029897	0.173870820625751	0.648448472699429	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
10	I	27498	-0.967726161327514	1.58738393471769	0.54249525237818	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
11	I	27561	1.579234330523	1.19690506722762	0.187880007057164	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
12	I	27816	0.047859011735328	0.177452658878607	0.787548519791381	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
13	I	27822	0.0315833179542778	0.177237410110048	0.858669850051587	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
14	I	27823	0.027885522198737	0.180890165971583	0.877573880229547	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
15	I	27825	0.0439852374630023	0.177229920156763	0.804138071377728	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
16	I	27843	-0.007824698869697	0.169806522662205	0.96327247659878	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
17	I	27848	-0.007824698869697	0.169806522662205	0.96327247659878	ORF	Verified ORF	YAL063C	FLO9	SGDID:S000000059
18	I	28495	0.0261674719992421	0.16980407118835	0.877615866139175	Close to 3'-UTR	Close to 3'-UTR	YAL063C	FLO9	SGDID:S000000059
19	I	28975	0.0436608807320081	0.16865869315128	0.795885493467128	Intergenic region	Intergenic region	A:27969-30945		
20	I	29283	-0.622873334785854	0.376551906876932	0.0989859231988668	Intergenic region	Intergenic region	A:27969-30945		
21	I	29752	-0.254271454889623	0.39386795037614	0.518973782840641	Promoter	Promoter	XUT_1F-15_NFR/NDR		
22	I	29787	4.17452893006364	1.04298844787191	7.64224742400077e-05	Promoter	Promoter	XUT_1F-15_NFR/NDR		
23	I	30057	0.0056323965650726	0.345762459848783	0.98701240873607	Unstable transcript	XUT	XUT_1F-15		
24	I	30479	0.004234461214537	1.01312512081705	0.996667529641264	Unstable transcript	XUT	XUT_1F-15		
25	I	30706	-0.0237564589050925	0.174194379730087	0.891599400808178	Unstable transcript	XUT	XUT_1F-15		
26	I	31435	-0.0170862429771803	0.168225344196096	0.919157571226319	Close to 3'-UTR	Close to 3'-UTR	YAL062W	GDH3	SGDID:S000000058
27	I	35128	0.258011021891188	0.231461320310713	0.265735326435027	Close to 3'-UTR	Close to 3'-UTR	YAL061W	BDH2	SGDID:S000000057
