,SNP,CHR_igv,BP,EFFECTSIZE,SE,P,snps_class_up,snps_class_down,locus_id,GENE,sgd_id
0,1,I,1025,0.263835045945551,0.175727313177211,0.134148929088754,Promoter,Promoter,X1L_NFR/NDR,,
1,2,I,1035,0.0057529334587081,0.178215803040096,0.974266432783245,Promoter,Promoter,X1L_NFR/NDR,,
2,3,I,1074,0.476193376575475,0.30010424638161,0.113462356233562,Close to 3'-UTR,Close to 3'-UTR,YAL069W,YAL069W,SGDID:S000002143
3,4,I,1470,-0.614533209190736,0.298300182556119,0.0401199347945224,Close to 3'-UTR,Close to 3'-UTR,YAL069W,YAL069W,SGDID:S000002143
4,5,I,1475,-0.204246327200709,0.221229769687844,0.356517107289822,Close to 3'-UTR,Close to 3'-UTR,YAL069W,YAL069W,SGDID:S000002143
5,6,I,1491,-0.106667449511537,0.193669791008658,0.582139957788312,Close to 3'-UTR,Close to 3'-UTR,YAL069W,YAL069W,SGDID:S000002143
6,7,I,21249,-0.0014848853135212,1.11232791078839,0.998935630464616,Promoter,Promoter,YAL064W_NFR/NDR,,
7,8,I,27243,-0.0133025420265409,0.15174285279258,0.930192621835181,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
8,9,I,27272,-0.17200545384274,0.149185008562516,0.249703882299438,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
9,10,I,27498,0.611899551315372,1.36449970526596,0.65410906386313,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
10,11,I,27561,1.65893108095325,1.02734548700256,0.107253017102699,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
11,12,I,27816,0.0350400252454065,0.152504062445989,0.818407821329189,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
12,13,I,27822,0.0028955438883047,0.152321546228482,0.984844332425332,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
13,14,I,27823,-0.022015905733037,0.155454705223727,0.887458871862217,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
14,15,I,27825,0.0224698577318146,0.152316929133255,0.882805483197941,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
15,16,I,27843,-0.0243872868804644,0.145923463088214,0.867368316381143,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
16,17,I,27848,-0.0243872868804644,0.145923463088214,0.867368316381143,ORF,Verified ORF,YAL063C,FLO9,SGDID:S000000059
17,18,I,28495,0.108267292921189,0.145817781051727,0.458288234929511,Close to 3'-UTR,Close to 3'-UTR,YAL063C,FLO9,SGDID:S000000059
18,19,I,28975,0.0717726727141627,0.144905785031552,0.620692469328182,Intergenic region,Intergenic region,A:27969-30945,,
19,20,I,29283,-0.414665751137706,0.324103369355601,0.201587960348758,Intergenic region,Intergenic region,A:27969-30945,,
20,21,I,29752,-0.100360366060267,0.338640952768282,0.767127797635778,Promoter,Promoter,XUT_1F-15_NFR/NDR,,
21,22,I,29787,0.845031208288553,0.915334725740469,0.35653688205172,Promoter,Promoter,XUT_1F-15_NFR/NDR,,
22,23,I,30057,0.238499131493771,0.296871136018016,0.422298086914566,Unstable transcript,XUT,XUT_1F-15,,
23,24,I,30479,0.271620555729894,0.870542244543816,0.755214804694716,Unstable transcript,XUT,XUT_1F-15,,
24,25,I,30706,-0.0781387800393029,0.149645809074117,0.601887719903755,Unstable transcript,XUT,XUT_1F-15,,
25,26,I,31435,-0.0156144976046949,0.144569683186944,0.914051722580486,Close to 3'-UTR,Close to 3'-UTR,YAL062W,GDH3,SGDID:S000000058
26,27,I,35128,-0.0814572432199654,0.199216478187566,0.682869750313132,Close to 3'-UTR,Close to 3'-UTR,YAL061W,BDH2,SGDID:S000000057
27,28,I,35129,-0.215410584148408,0.199444661267084,0.280856440096122,Close to 3'-UTR,Close to 3'-UTR,YAL061W,BDH2,SGDID:S000000057
28,29,I,36146,-0.0988417137218945,0.143730351613512,0.492100544826372,ORF,Verified ORF,YAL060W,BDH1,SGDID:S000000056
29,30,I,37255,0.0726079015227832,0.29027870905453,0.802631022895537,Promoter,Promoter,YAL058W_NFR/NDR,,
30,31,I,37409,0.0542097185912682,0.144575459562908,0.707916909673342,Promoter,Promoter,YAL058W_NFR/NDR,,
31,32,I,37478,0.0387223427518404,0.144713879908398,0.789179947729612,ORF,Verified ORF,YAL058W,CNE1,SGDID:S000000054
32,33,I,39144,-0.0282244143407444,0.144060289644824,0.844784850772136,Promoter,Promoter,YAL056W_NFR/NDR,,
33,34,I,41499,-0.0801828487733198,0.143605108496624,0.57695493100884,ORF,Verified ORF,YAL056W,GPB2,SGDID:S000000052
34,35,I,45359,-0.0157407242874772,0.241868544438891,0.948147408958539,Promoter,Promoter,YAL054C_NFR/NDR,,
35,36,I,45634,-0.274955541789333,0.221682307555812,0.215683264054988,Promoter,Promoter,YAL053W_NFR/NDR,,
36,37,I,51248,-0.025841374992486,0.144273472958149,0.857951079160793,ORF,Verified ORF,YAL051W,OAF1,SGDID:S000000048
37,38,I,51462,-0.03711846408732,0.144462165407326,0.797372887999063,ORF,Verified ORF,YAL051W,OAF1,SGDID:S000000048
38,39,I,52124,-0.204781944739349,0.143867747800235,0.155502260211063,ORF,Verified ORF,YAL049C,AIM2,SGDID:S000000047
39,40,I,52667,-0.247057204467989,0.143447366218454,0.0858938668905963,Promoter,Promoter,YAL049C_NFR/NDR,,
40,41,I,55470,-0.210944693513789,0.147542402456081,0.153681102310717,ORF,Verified ORF,YAL047C,SPC72,SGDID:S000000045
41,42,I,59265,-0.117501288398297,0.143840238930868,0.41454369520943,ORF,Verified ORF,YAL043C,PTA1,SGDID:S000000041
42,43,I,60165,-0.176371040255512,0.143560748375225,0.220060345277764,ORF,Verified ORF,YAL043C,PTA1,SGDID:S000000041
43,44,I,62308,-0.234621541406903,0.143165523688169,0.102143099793405,ORF,Verified ORF,YAL042W,ERV46,SGDID:S000000040
44,45,I,62869,-0.289708273698475,0.142861319134216,0.0433212585559,ORF,Verified ORF,YAL041W,CDC24,SGDID:S000000039
45,46,I,65431,-0.42066633159431,0.148391374596739,0.0048487629356954,Close to 3'-UTR,Close to 3'-UTR,YAL041W,CDC24,SGDID:S000000039
46,47,I,65451,-0.38618116775026,0.146508304745086,0.0087617857663581,Close to 3'-UTR,Close to 3'-UTR,YAL041W,CDC24,SGDID:S000000039
47,48,I,65719,-0.281263837056903,0.153549222952142,0.0678311189223353,Close to 3'-UTR,Close to 3'-UTR,YAL041W,CDC24,SGDID:S000000039
48,49,I,66841,-0.337528460867515,0.14263187652792,0.0184998520734125,ORF,Verified ORF,YAL040C,CLN3,SGDID:S000000038
49,50,I,66948,-0.337596260340331,0.143520617052693,0.0192088731644887,ORF,Verified ORF,YAL040C,CLN3,SGDID:S000000038
50,51,I,68621,-0.307100625741393,0.143320149430006,0.0328157644899038,Promoter,Promoter,SUT003_NFR/NDR,,
51,52,I,69417,-0.200919917853158,0.143469335806265,0.162260534271501,Unstable transcript,SUT,SUT003,,
52,53,I,69820,-0.682830447450019,0.561782900694719,0.224999032791974,Promoter,Promoter,YAL039C_NFR/NDR,,
53,54,I,69821,-0.341280366336849,0.34882053474319,0.328554557558025,Promoter,Promoter,YAL039C_NFR/NDR,,
54,55,I,70906,-0.280038506025764,0.23062492762622,0.225460345936317,Close to 3'-UTR,Close to 3'-UTR,YAL038W,CDC19,SGDID:S000000036
55,56,I,74327,-0.286620041244307,0.143851669085788,0.0470893244541622,ORF,Uncharacterized ORF,YAL037W,YAL037W,SGDID:S000000035
56,57,I,74572,-0.307305728892996,0.143343027953453,0.0327277184558868,ORF,Uncharacterized ORF,YAL037W,YAL037W,SGDID:S000000035
57,58,I,75211,-0.283947039970159,0.143214979279966,0.0481799362212429,ORF,Verified ORF,YAL036C,RBG1,SGDID:S000000034
58,59,I,76030,-0.267059356824846,0.143306980607508,0.0632154231762313,ORF,Verified ORF,YAL036C,RBG1,SGDID:S000000034
59,60,I,80108,-0.296368907149404,0.143109410433168,0.0390921050366579,ORF,Verified ORF,YAL034W-A,MTW1,SGDID:S000000032
60,61,I,81262,-0.21030298444228,0.143485770044708,0.143627988652197,ORF,Verified ORF,YAL034C,FUN19,SGDID:S000002134
61,62,I,81999,-0.0929106625897247,0.144188403395394,0.519754103320034,Close to 3'-UTR,Close to 3'-UTR,YAL034C,FUN19,SGDID:S000002134
62,63,I,82431,-0.0922638503819484,0.144872925127278,0.524628461766044,Close to 3'-UTR,Close to 3'-UTR,YAL034C,FUN19,SGDID:S000002134
63,64,I,83284,0.0097844177663905,0.143900363777093,0.94582859501257,Close to 3'-UTR,Close to 3'-UTR,YAL033W,POP5,SGDID:S000000031
64,65,I,83613,0.0232985618602593,0.143880105354442,0.871453314673152,ORF,Verified ORF,YAL032C,PRP45,SGDID:S000000030
65,66,I,84112,-0.0118292279613628,0.143899928750801,0.93453065161088,ORF,Verified ORF,YAL032C,PRP45,SGDID:S000000030
66,67,I,84701,-0.0325366785894677,0.154083579191276,0.83288229745269,ORF,Dubious ORF,YAL031W-A,YAL031W-A,SGDID:S000028731
67,68,I,84858,0.0619688118084023,0.14426974256751,0.667796449412654,ORF,Dubious ORF,YAL031W-A,YAL031W-A,SGDID:S000028731
68,69,I,85751,-0.0299506162556434,0.144891812072495,0.836355366043846,ORF,Verified ORF,YAL031C,GIP4,SGDID:S000000029
69,70,I,87445,0.026483263729074,0.145200049133624,0.855380146047546,Close to 3'-UTR,Close to 3'-UTR,YAL031C,GIP4,SGDID:S000000029
70,71,I,87467,0.0088747673829932,0.145966291216653,0.951552805872094,Close to 3'-UTR,Close to 3'-UTR,YAL031C,GIP4,SGDID:S000000029
71,72,I,89070,-0.0593970763130541,0.145019038638642,0.682361591338156,ORF,Verified ORF,YAL029C,MYO4,SGDID:S000000027
72,73,I,89616,-0.0011723870344282,0.144273165024333,0.993520922986807,ORF,Verified ORF,YAL029C,MYO4,SGDID:S000000027
73,74,I,89679,-0.0501994029213435,0.144266708779996,0.728075756932108,ORF,Verified ORF,YAL029C,MYO4,SGDID:S000000027
74,75,I,89880,-0.022516199451724,0.144323032749791,0.876112335522891,ORF,Verified ORF,YAL029C,MYO4,SGDID:S000000027
75,76,I,91472,-0.0323651864167847,0.145389118899241,0.823967185737401,ORF,Verified ORF,YAL029C,MYO4,SGDID:S000000027
76,77,I,93789,-0.0930101197470963,0.143816129657315,0.518227369786761,ORF,Verified ORF,YAL028W,FRT2,SGDID:S000000026
77,78,I,94351,-0.0472562886597686,0.144258103740183,0.743422286486588,ORF,Verified ORF,YAL028W,FRT2,SGDID:S000000026
78,79,I,99148,-0.089889138745371,0.143821751547296,0.532372369167312,ORF,Verified ORF,YAL026C,DRS2,SGDID:S000000024
79,80,I,101281,1.52452101582539,1.57171652072423,0.332724577923427,Promoter,Promoter,YAL025C_NFR/NDR,,
80,81,I,106011,-0.147182687211379,0.149767421339194,0.326407659761234,Promoter,Promoter,YAL024C_NFR/NDR,,
81,82,I,106800,-0.182261738437301,0.143768501646019,0.205724755457475,ORF,Verified ORF,YAL023C,PMT2,SGDID:S000000021
82,83,I,107970,-0.146249157779248,0.143457481237876,0.308682828054733,ORF,Verified ORF,YAL023C,PMT2,SGDID:S000000021
83,84,I,109000,-0.0332286914917081,0.143910834349591,0.817527985017468,ORF,Verified ORF,YAL022C,FUN26,SGDID:S000000020
84,85,I,112549,-0.142910545448045,0.14355741184737,0.320177941638079,ORF,Verified ORF,YAL021C,CCR4,SGDID:S000000019
85,86,I,112742,-0.130932454898255,0.144150512930579,0.364337427472285,ORF,Verified ORF,YAL021C,CCR4,SGDID:S000000019
